film_adi,degisken_1,degisken_2,degisken_3,degisken_4
ziri_cin_3,18_yas_ve_uzeri,siddet_ve_korku,olumsuz_ornek,
wake_up,18_yas_ve_uzeri,siddet_ve_korku,olumsuz_ornek,
_the_last_dance,13_yas_ve_uzeri,siddet_ve_korku,olumsuz_ornek,
the_substance,18_yas_ve_uzeri,siddet_ve_korku,olumsuz_ornek,cinsellik ve ciplaklik
the_room_next_door,16_yas_ve_uzeri,olumsuz_ornek,,
the_lord_oftherings_rohirrim,10_yas_ve_uzeri,13_yas_alti,siddet_ve_korku,olumsuz_ornek
master_and_margarita,18_yas_ve_uzeri,siddet_ve_korku,olumsuz_ornek,cinsellik ve ciplaklik
the_order,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
the_apprentice,18_yas_ve_uzeri,olumsuz_ornek,cinsellik ve ciplaklik,
takintilar,10_yas_ve_uzeri,olumsuz_ornek,,
shahed_the_witness,10_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
pendekar_awang,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
parthenope,18_yas_ve_uzeri,olumsuz_ornek,cinsellik ve ciplaklik,
out_of_the_nest,6_yas_alti,olumsuz_ornek,siddet_ve_korku,
on_saniye,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
nezouh,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
megalopolis,18_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
leydi_di,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
lanetli_kitap,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
la_cocina,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
histoire_suleyman,6_yas_ve_uzeri,10_yas_alti,siddet_ve_korku,
killer_influence,18_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
joker_folie_a_deux,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
hicbir_sey_yerinde_degil,18_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
heretic,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
here,10_yas_ve_uzeri,olumsuz_ornek,,
hain,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
galdiator,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
gelin_takimi,10_yas_ve_uzeri,13_yas_alti,olumsuz_ornek,
evcilik,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
dunya_varmis,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
rebirth_island,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
cilgin_dersane_5updated,16_yas_ve_uzeri,olumsuz_ornek,cinsellik ve ciplaklik,
cakallarla_dans7,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
count_of_montecristo,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
canary_black,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
barda,18_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
bangkok_dog,18_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
baba_beni_guldursene,6_yas_ve_uzeri,10_yas_alti,siddet_ve_korku,olumsuz_ornek
avci_kraven,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
asu,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
armor,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
anora,18_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,cinsellik ve ciplaklik
all_we_imagine_as_light,16_yas_ve_uzeri,olumsuz_ornek,cinsellik ve ciplaklik,
39_derecede_ask,10_yas_ve_uzeri,olumsuz_ornek,,
0000_kilometre,10_yas_ve_uzeri,13_yas_alti,olumsuz_ornek,siddet_ve_korku
yuzdeyuz_kurt,6_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
yeniden_baslamak,16_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
yurt,18_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
yasam_kocu,10_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
yakamoz,6_yas_ve_uzeri,olumsuz_ornek,,
veda_partisi,16_yas_ve_uzeri,olumsuz_ornek,,
uj_bej_harfliler,16_yas_ve_uzeri,olumsuz_ornek,,
Tuesday,18_yas_ve_uzeri,olumsuz_ornek,siddet_ve_korku,
